t_index                term    df
1                     word    92
2                      say   927
3                   leader   300
4                     week   375
5                     year   487
6                    close   244
7                     oust    36
8                  survive    89
9                    guard    80
10                    work   309
11                  spread    50
12                    well   241
13                  change   144
14                tomorrow    41
15                  jammed     2
16                   civil    56
17                struggle    72
18                   force   362
19              difficulty    21
20             independent    63
21                     get   358
22                    four   240
23                     may   268
24                  strike   112
25                   white   167
26                confront    24
27                   march    58
28                    serb    33
29                   rally   126
30                  victim   101
31                    sens     8
32                 handful    16
33                  people   483
34                   power   251
35               frustrate    14
36                   house   277
37                  worker   139
38                   heart    42
39                    shut    27
40                    news   346
41               equipment    81
42                    real    74
43                     're   170
44                    call   359
45                    keep   183
46                    coal    31
47                    hear   125
48                     one   590
49                     new   404
50                    last   501
51                     nbc    65
52                 general   170
53                   point   183
54                  listen    24
55                  poorly     6
56                 protest    98
57                    land    53
58                     ago   207
59                    give   320
60                   steal    55
61                two-hour     5
62                   leave   354
63                   month   261
64                    wait    97
65                belgrade   100
66                 purpose    20
67                  serbia    86
68                 hostage    29
69                  shrink     5
70                 reserve    10
71                    case   168
72                question   211
73                  10,000    26
74                pressure    74
75                   radio    72
76                  signal    32
77                organize    52
78                     rid    17
79                    good   258
80                    life   179
81                    time   462
82                engineer    25
83              yugoslavia   129
84                     try   322
85                   watch    90
86            disobedience    14
87                     man   202
88                     jim    51
89                combined     4
90              opposition   185
91                    mine    45
92                  barely    19
93                   three   312
94                blackout     4
95                    also   477
96                 station   118
97                  wealth     8
98                 worried     9
99                     eve    62
100                tonight   104
101                economy    73
102                gesture    21
103               thousand   152
104                 regime    64
105              milosevic   134
106           presidential   220
107              roadblock    17
108               election   284
109               slobodan   126
110                   hope   160
111                   make   441
112                  b-292     1
113             throughout    70
114                   come   406
115                hundred   113
116                 person    59
117              president   538
118             nationwide    20
119                   draw    80
120                   step   135
121                  taste     3
122               stoppage     5
123                 accept   119
124                 maceda    11
125            electricity    30
126             journalist    36
127                  begin   265
128                    aim    35
129                abandon    37
130               yugoslav    70
131               schedule    75
132                predict    42
133                breakup     3
134                 refuse   108
135              kostunica   103
136                  could   420
137                address    64
138                  major   135
139               shortage    16
140                    oil    43
141                achieve    26
142              important   124
143                comment    80
144                   line   154
145           intersection     3
146              overnight    25
147            yugoslavian    15
148            consequence    18
149               upcoming    10
150               majority    85
151               refinery     4
152                  truck    60
153               official   468
154                 runoff    32
155             challenger    23
156               vojislav    97
157                   lead   260
158                    two   569
159                 driver    23
160                  would   504
161                    bus    34
162               required     8
163                    car    96
164                   taxi     6
165                 sunday   201
166                  claim   129
167                    rig    17
168              televised    10
169                   vote   175
170                    job   100
171                   fuel    34
172                  today   316
173               takeover    15
174                victory   138
175                   warn    68
176                  bring   214
177            nationality    10
178              emergency    74
179                   gen.    77
180                  argue    45
181                 former   267
182                  henri    14
183               alassane    27
184               normally    25
185                mansion    21
186          international   190
187                   read    44
188                   next   235
189                 remain   286
190              dependent     7
191                   lose   181
192                   find   348
193                 veiled     8
194                popular    83
195              initially    38
196                 gbagbo    38
197                 street   176
198               reprisal     6
199                     22    49
200                mamadou     2
201                  doubt    46
202                 effect    45
203               uprising    44
204                  small   226
205                 happen   145
206                profile    20
207                   hulk     2
208                 parent    60
209                  bedie    12
210               assemble    14
211                despite   116
212               ouattara    30
213               saturday   190
214               surround    61
215                  court   190
216          third-largest     5
217                 nation   177
218               bandanna     3
219            24-year-old    10
220                 insist    86
221                   late   216
222           ivorian-born     3
223                 robert    85
224                defiant     6
225                 figure    92
226                  party   185
227                another   263
228               nickname     4
229            participate    47
230               military   281
231                    die   190
232                   none    44
233               eligible     8
234                  harsh    16
235                   kone     3
236                african    48
237                  fight   100
238                 topple    26
239                  since   341
240                 threat   104
241                dramane    15
242                 reject    59
243                   faso     8
244                   west   125
245                   guei    38
246                   dear     5
247                 africa    65
248                   wear    58
249                   sign   133
250                   meet   150
251            application    13
252               december    79
253                  young   101
254              supporter   121
255                  anger    45
256                  store    67
257                  along   118
258             well-known    12
259                  first   433
260               civilian    51
261                 stable    21
262                    low    57
263               continue   219
264              reinforce    12
265               neighbor    70
266              political   203
267                 accuse   118
268                    ado     2
269                burkina     8
270                country   407
271                 around   190
272                    use   303
273                  order   128
274                 assure    27
275                abidjan    36
276              democracy    72
277           constitution    58
278                 unrest    17
279                 export    17
280                    bar    55
281                capital   155
282               threaten    44
283                sandbag     2
284               longtime    26
285              nighttime     5
286              financial    42
287                explode    38
288                 curfew    10
289                restore    55
290               security   307
291                  chief   196
292                 submit    25
293                  chant    29
294              incapable     2
295                 public   148
296               instruct     6
297                  state   431
298                   know   351
299             commercial    36
300               t-shirts     9
301               previous    31
302                 mother    64
303              statement   104
304                   rule   174
305                   camp    48
306              exclusion    11
307                   main   110
308                counter    19
309                include   293
310                  ivory    51
311                  usual    17
312                require    67
313          qualification     2
314              immediate    37
315                    men   217
316                   many   345
317                   coup    43
318                  coast   106
319                    run   232
320                supreme    47
321                  seize    33
322                    tia     2
323                   oct.   112
324              protester    58
325                 coffee    25
326                   team   115
327                 fofana     2
328                subvert     3
329                 attach    13
330              contender     7
331              candidate   133
332                instead    72
333               standing    16
334              candidacy    15
335                corrupt    20
336                  refer    36
337             politician    42
338                 ruling    44
339               peaceful    35
340               attorney    58
341                 ignore    20
342                  peace    70
343                laurent    29
344                several   226
345                promise    96
346                  still   370
347               decision   166
348                  quick    35
349                  konan    12
350                   face   175
351                   suit    30
352                barrier    12
353                  judge    62
354               handover     4
355                  junta    22
356                  cocoa    14
357                 accord   118
358                    bid    44
359                    buy    50
360                   urge    90
361                  trade    60
362                uniform    23
363             repeatedly    28
364                   five   182
365                exclude    20
366                   tell   345
367                  shake    70
368                    tie    97
369                 twenty     7
370               preserve    11
371                 friday   216
372                 winter     4
373            sub-saharan     3
374               violence   106
375                   calm    38
376             adequately     3
377                   rich    32
378               chairman    56
379             songwriter     3
380                  fraud    68
381                justice   101
382              committee    79
383               fugitive    72
384               document    43
385                 indict    26
386             successful    21
387                 pardon    91
388                 wanted    19
389             democratic   150
390            switzerland    25
391                   list    97
392                ex-wife     9
393            investigate    81
394               campaign   149
395               congress   112
396                  prior    15
397             department   162
398                    tax    40
399                 reform    45
400              financier    27
401                 denise    14
402                    ask   176
403                million   191
404                  money   110
405                   1983    18
406                   mark    82
407                explain    35
408                   flee    95
409                   bill    66
410                    six   149
411                    dan    18
412                clinton   271
413             government   341
414             connection    45
415              yesterday    67
416                 burton     5
417                 charge   192
418                 agassi    47
419                outlast     4
420               grosjean    17
421                   hour   261
422                 friend    77
423                    win   218
424                clement    23
425              australia    23
426                   date    27
427                   back   354
428              sebastien    16
429                  final   140
430                   open   249
431               grueling     5
432                  andre    48
433              frenchman     8
434                    set   227
435                 arnaud    17
436                   best    94
437                morariu     4
438              davenport    44
439               complete    75
440                 career    48
441                 double    34
442                  grand    63
443                 sister    45
444                 corina     4
445               williams    54
446                lindsay    41
447                   slam    57
448             multistory     7
449                chinese    10
450                   cite    36
451                karachi     3
452                   drop    51
453                   lamp     2
454                  1,500    17
455              attention    64
456              represent    45
457                    end   267
458                   atal    13
459                  large   182
460                   much   251
461               hospital    85
462                 doctor    43
463             assistance    40
464                  child   101
465                 terror    26
466               national   220
467                shortly    47
468                   town   111
469                   rest    90
470                 affect    23
471                   home   316
472                   talk   155
473                  await    26
474             impossible    37
475                 across   119
476                 strong   114
477                 extent    27
478                 damage   151
479                  night   196
480              musharraf     4
481                   toll    78
482                prepare   101
483                   help   310
484                 tumble     7
485                  staff    67
486               westward     1
487                  heavy    58
488                krishna     1
489                 huddle     7
490                 bruise     5
491                   army   136
492                   send   187
493                  badly    39
494                   half   108
495                   rise    80
496                   fear    98
497               casualty    22
498               reporter    96
499                  south   123
500                  prime   117
501                 impact    33
502             frightened     7
503                     go   477
504                    650     2
505                  earth    29
506                   1950     8
507                   dead   164
508                   city   217
509                  woman   155
510               katmandu     1
511                  trust    23
512                  crane    17
513                 border    49
514                     90    27
515                 deadly    67
516            concentrate    16
517                shelter    22
518                 pervez     4
519                 rescue   114
520               calamity     5
521                   area   184
522              confusion    16
523                   hard    98
524                 bottom    27
525                  3,750     1
526              telephone    72
527              afterward    11
528               optional    11
529                   nadu     1
530                morning   138
531                   full    81
532               manorama     1
533                  treat    39
534                 annual    17
535                   fell    66
536                 decide   102
537                  nepal     8
538                   bhuj    33
539              celebrate    49
540                    6.9     4
541                 aerial     3
542                  1,000    34
543             earthquake   110
544                   felt    80
545                 sadden     9
546                   a.m.    49
547                150,000    19
548                 indian    48
549              islamabad     4
550                 number   144
551                paucity     1
552                blanket    35
553              contested     4
554               facility    45
555             condolence    15
556                western   109
557                unnamed     4
558                  scene    91
559                 agency   116
560                kashmir     2
561                 report   332
562                 center   140
563               property    12
564              epicenter    31
565                 french    64
566                 gather    76
567                outside   171
568                    air   169
569                 source    90
570                  troop    67
571                    7.6    10
572              magnitude    40
573                 advani     1
574                  tamil     1
575                  write    88
576                  might   173
577                   high   193
578               republic    65
579                 tremor    23
580             magistrate     3
581              ahmedabad    20
582                bonfire     3
583                confirm   106
584              bulldozer    24
585             television   160
586                recover   129
587                intense    17
588               vajpayee    13
589                   move   210
590                    war   191
591            devastating    16
592              officials    74
593                   u.s.   402
594                   bury    84
595                   sway    17
596                 survey    26
597                beneath    31
598               northern    56
599                 bhagat     1
600                    day   456
601             heartbreak     2
602              high-rise     7
603              collapsed    21
604           subcontinent     3
605                 supply    52
606                    hit   112
607                 region   120
608                  ruler    39
609                message    44
610                     40    89
611                   limb    12
612               minister   169
613                  death   210
614                  panic    18
615                  chair    17
616                footing    12
617                  india    68
618                   trim    12
619                   show   197
620                    lal     1
621                 parade    21
622           temperatures     3
623                 tragic    12
624                  skull     3
625                   tent    31
626                medical    86
627                    7.9    23
628                release   153
629               district    38
630                 expect   181
631                percent    97
632                    aid    92
633                  dozen   100
634                    bad   107
635               adoption     6
636                    put   183
637              interview   116
638                 rumble     6
639                   east   126
640               pakistan    30
641                   roof    25
642             completely    30
643          communication    34
644                   body   188
645                  press   118
646                   loss    62
647                  delhi    17
648                   part   240
649                    247     1
650                 rubble    62
651             aftershock    39
652                    top   167
653                 office   224
654          seismologists     2
655                 repeat    25
656                   link    83
657                injured    79
658                  break   177
659                   take   529
660                century    24
661                 behari     3
662                  every    92
663                  shade     2
664            immediately    95
665                 effort   182
666                gujarat    39
667                 dozens    14
668                  chill    10
669                holiday    26
670                   road    60
671                 madras     4
672              authority   217
673                 simple    19
674                airlift     4
675                  sever     5
676             parliament    58
677                     10   145
678               building   125
679                   pour    39
680              construct     5
681               collapse    72
682               occasion    19
683              apartment    39
684                   near   179
685                joyride     1
686              situation    81
687                quickly    76
688                 finish    57
689                   even   279
690              semifinal    30
691                 second   162
692               champion    55
693                 fairly    16
694                    7-6    30
695                 daring     4
696                     70    26
697                  nerve     5
698                 gobble     1
699                 behind   155
700                 reason    93
701                  ahead    53
702                 really   105
703               although    83
704                   10th    13
705                  fifth    34
706                  drain     8
707                  think   281
708                     78     6
709                  upset    40
710                  arena    22
711                  wield     5
712            23-year-old     9
713                 reward    37
714                    cue     1
715                  chase    22
716                   push    66
717                visibly     9
718                  barge     3
719                combine    10
720               baseline    16
721              four-hour     3
722                176-174     1
723                 appear   173
724                   earn    18
725                   seat    64
726              advantage    21
727           flip-flopped     1
728               fighting     9
729            overzealous     1
730                  fault    20
731                   wind    28
732                    7-5    29
733                    fan    10
734                   soon    94
735                  right   197
736            desperation     8
737                   save    62
738                  erase    11
739                  timid     2
740                    ear     7
741              difficult    84
742                deficit    11
743       two-sets-to-none     1
744                     wo    44
745                 always    93
746                   beat    94
747               patience     5
748                  ninth    20
749                   ball    29
750                   like   285
751       counter-punching     1
752                 chance    99
753                  blast   109
754                partner    41
755                    5-2     5
756                deflate     1
757                    5-7    11
758                    3-5     1
759                  shirt    12
760               favorite    14
761            16th-seeded     1
762                  third   124
763                  round    98
764                  short    95
765                history    95
766                 fizzle     1
767                   play   126
768                  shoot    42
769                  tight    26
770                 reveal    34
771                passing     6
772                   fail   100
773                   fist     7
774                  trick    13
775                   doom     5
776                 course    62
777                yevgeny    26
778             friendship     6
779            crestfallen     1
780                    yes    25
781                  early   219
782                     'd    46
783                   trip    83
784                   slay     3
785                 manage    50
786               backward     3
787                  fling     6
788                scamper     1
789          groundstrokes    11
790               position    79
791                    big   111
792                   tire    19
793                   whip     5
794                   wild    20
795              confident    33
796                    ace    27
797              concerned    17
798               colorful     1
799                 nature    26
800         panic-stricken     1
801                letdown     1
802                    box    16
803                     71     1
804                   less    97
805                    way   298
806                halfway     4
807                convert     5
808                 tactic    14
809                prolong     4
810                  smile    34
811                quarter    26
812                   hand   143
813                mistake    31
814               footwork     1
815             tiebreaker     8
816                   1928     5
817                 fellow    38
818               suddenly    17
819                    yet   165
820           resurrection     1
821                  40-30     1
822                  pluck     3
823                 player    53
824               scramble    16
825                   shoe    16
826                    fit    23
827                   11th     8
828                    rod    25
829                  crack    29
830                 slowly    26
831                   look   218
832                   snap     9
833                  reach   165
834                  tough    35
835             australian    71
836                 volley    15
837        5-foot-8-inches     1
838            retractable    12
839               distract     2
840                finally    67
841                 endure    18
842                 within   102
843                 family   212
844                  total    57
845                  weary     6
846              eliminate    32
847                  flair     2
848                  punch    12
849                 dinner    10
850                borotra     1
851                   rain    26
852                     12   157
853            15th-seeded     1
854                 glance     5
855                  strip    24
856                   hair    15
857                   tall    12
858                    2-6    18
859                 depend    25
860               unforced    12
861                   shot    49
862                   walk    67
863                   mean   108
864                 corner    32
865                 defend    82
866                    net    79
867                    dig    55
868                  start   158
869                   game    57
870                  laver    11
871                   prod     2
872                  error    47
873                   exit    25
874             kafelnikov    29
875                   wide    44
876            22-year-old    11
877                   spin     5
878                 timing    12
879           fifth-seeded     2
880                 fourth    53
881                  speed    34
882                    din     4
883             methodical     4
884               forehand    15
885                 commit    62
886                 winner    85
887                    rip    47
888                  paper    23
889                prevail    19
890                   long   223
891               comeback    17
892              opportune     1
893                   pull   126
894                    far   194
895                  pride    13
896               energize     2
897              evaporate     3
898                  brush     5
899           unfathomable     2
900               two-week     2
901               together   101
902                    cap    19
903                    6-2    45
904            captivating     2
905           wrong-footed     1
906             scrambling     1
907                  match    67
908                  smack     4
909                  poise     6
910                miracle    10
911                  title    50
912                  serve   186
913                     20   128
914             difference    41
915                   loft     2
916             aggressive    19
917               sanguine     1
918                   feel    91
919             three-game     1
920                   sock     3
921                   head   200
922                  cover    66
923                   jean    50
924          death-defying     1
925               glorious     2
926             everything    77
927               bleacher     1
928               hundreds    16
929                display    29
930                  surat     3
931                hallway     3
932                   away   166
933                 record    80
934               persuade    27
935               verandah     2
936                patient    18
937                nuclear    48
938                 police   212
939         communications     6
940                    150    22
941           220-megawatt     2
942                cabinet    31
943                 bombay     5
944                   wife   125
945                disrupt     6
946              dignitary     5
947             skyscraper     4
948                   bhat     1
949                  plant    19
950              gathering    17
951                     50    84
952               resident    77
953                  whole    68
954                believe   291
955            engineering     6
956                    n.s     2
957                college    34
958                meeting   112
959                     16    60
960             bangladesh     5
961            three-story     6
962              allahabad     2
963                overall     6
964            pondicherry     2
965                   51st     2
966             three-hour     4
967               panicked     5
968                  uttar     4
969                  cause   131
970                  haren    13
971                temblor    13
972                textile     4
973               industry    17
974                  least   209
975              psychosis     1
976                   kill   425
977                   rock    71
978               southern    63
979               province    30
980              baijubahi     2
981                  crowd    95
982                     19    66
983                  north    78
984            post-mortem     2
985               satkhira     3
986                   rush    55
987                besiege     4
988                 rajesh     3
989               relative    53
990                  quake    89
991                 debris    47
992                   wail     6
993                  gupta     2
994                 hindus     4
995                pradesh     4
996                   fire   120
997                 member   190
998                    4.5     9
999               doorways     1
1000                  trap    59
1001                  mile   126
1002              overflow     4
1003                ninety     1
1004                desert    29
1005               diamond     3
1006                    31    20
1007                school    52
1008                injury    62
1009               riotous     1
1010           loudspeaker     9
1011              apparent   100
1012                ground   104
1013                  1819     1
1014                  onto    50
1015          announcement    49
1016             elsewhere    55
1017                   653     1
1018               reports     8
1019              stampede     4
1020                bihari    10
1021              millions     4
1022                 climb    21
1023                 world   243
1024                 flood    19
1025               develop    35
1026             religious    27
1027                 bleed     3
1028                pramod     1
1029                   200    48
1030                   100    60
1031           commemorate     6
1032                 wound    83
1033                vineet     2
1034               student    53
1035               corpses     1
1036                scream    15
1037                  hold   264
1038                  name   160
1039                   651     2
1040                 field    49
1041               factory    20
1042                 2,000    39
1043              powerful   102
1044               teacher    16
1045                pandya    14
1046          southeastern    10
1047             stairwell     4
1048                arrive   166
1049              calcutta     3
1050                  pile    24
1051                  june    41
1052                broken    17
1053               mahajan     2
1054                refuge     7
1055                narrow    27
1056               picture    34
1057                  slab    15
1058                    hi     5
1059             furiously     6
1060               soldier    94
1061              satinder     3
1062                    51    18
1063                 local    97
1064                bindra     3
1065          northwestern     3
1066              describe    79
1067                 1,100     5
1068                   've   137
1069                  lift    78
1070                inside   119
1071                nearly   115
1072                 story    79
1073             afternoon    59
1074                  need   207
1075                  okay     8
1076                  fast    26
1077                   lot   132
1078                  turn   177
1079                  site    80
1080                enough   134
1081                 angry    27
1082                  grow    85
1083             structure    12
1084             hyderabad     3
1085                resort    24
1086             southeast    35
1087                   180     2
1088            geological    11
1089           most-wanted     7
1090                  marc    23
1091              lawmaker    41
1092             spokesman   185
1093                    15    63
1094                   fda     1
1095                 texas    95
1096                crisis    64
1097                  7.9.     1
1098                  food    57
1099            california    32
1100                cattle     2
1101                  mill     4
1102               waiting     3
1103              survivor    91
1104              solution    14
1105            quarantine     1
1106                  meal     6
1107                 alert    62
1108      headlinenews.com     2
1109                design    29
1110               whether   201
1111                   mad     4
1112                health    72
1113                 stage    29
1114               massive    65
1115               disease     9
1116                 click     2
1117                minute    92
1118                   cow     7
1119                energy    29
1120                search   143
1121                  bone    52
1122               anytime     4
1123                  feed    19
1124               violate    17
1125                 check    40
1126                defeat   143
1127            contribute    30
1128                senior   122
1129                medium    67
1130           acknowledge    54
1131                 storm    46
1132               radical    22
1133                allied    12
1134              criminal   105
1135                 spate     3
1136               initial    49
1137               present    58
1138          unswervingly     2
1139           orchestrate     4
1140                  risk    57
1141                  form    94
1142              thursday   219
1143               control   170
1144                 elect    89
1145             indonesia     9
1146              survival    13
1147                  stab     8
1148                rather    63
1149              grubacic     2
1150            presidency    90
1151           extradition    15
1152           significant    36
1153            associated    47
1154                  plan   235
1155                 level    94
1156              initiate     9
1157           netherlands    15
1158            ultimately    29
1159                europe    50
1160              convince    25
1161                 proxy     4
1162             socialist    36
1163                  stay   148
1164                 drove     5
1165         assassination    16
1166           legislature    19
1167           troublesome     2
1168                legacy    12
1169                 zoran    20
1170               concede    49
1171               federal   122
1172                 milan    10
1173            underworld     3
1174                  hide    46
1175         authoritarian    27
1176                   ebb     8
1177              tribunal    29
1178           consolidate    13
1179                 spell     9
1180                 clout     4
1181              sideline    11
1182            prosperity    23
1183                 alive    84
1184               without   141
1185              sweeping    13
1186                depose     6
1187                    46    16
1188            victorious     9
1189            socialists    10
1190                 verge     7
1191           milutinovic     9
1192                  ally    82
1193                 spend   109
1194               trouble    54
1195              indicted    11
1196                  post    69
1197              residual     3
1198               ability    32
1199      ultranationalist     3
1200                 hague    33
1201              activity    59
1202                  gain    70
1203            especially    74
1204            vulnerable    30
1205              sabotage     6
1206               stunned     5
1207              dominant    10
1208        100,000-strong     2
1209               stature     4
1210                 newly    34
1211                 crony    18
1212               suspend    24
1213               leftist    20
1214           substantial    15
1215                 loyal    16
1216                little   160
1217                    13    99
1218                ballot    70
1219             unlimited     2
1220           speculation    22
1221             coalition    34
1222               violent    30
1223              djindjic    17
1224                active    31
1225                    tv    59
1226                   178     2
1227                arrest   109
1228                 crime    73
1229           prosecution    22
1230         reintegration     3
1231                 marko    11
1232          demonstrator    40
1233                 korac     4
1234                 braca     2
1235                create    48
1236         pro-democracy    12
1237              autocrat     5
1238                 block    83
1239               serbian    72
1240                occupy    13
1241                   old    90
1242            mouthpiece     3
1243                tenure     9
1244                though   135
1245               however   124
1246                 zarko     6
1247                 chile     5
1248                retain    17
1249             extradite    23
1250              overcome    18
1251           iron-fisted    14
1252           possibility    57
1253                direct    54
1254                prefer    11
1255           conceivably     5
1256               analyst    37
1257             electoral    73
1258             disgraced     8
1259          congratulate    21
1260                intend    49
1261              politics    55
1262                 chaos    35
1263                  beef     5
1264            montenegro    23
1265              grandson    13
1266                  role    59
1267                future    88
1268            propaganda    19
1269         neo-communist     7
1270               council    43
1271                  fate    29
1272                pledge    68
1273                    ca    60
1274                  yeah    13
1275               martina    40
1276                 never   143
1277                   cnn    49
1278                  else    34
1279                matter    75
1280               imagine    26
1281                hingis    40
1282             melbourne    28
1283                option    29
1284                anyone    58
1285              hardware     1
1286            jurenovich     3
1287                 sport    44
1288              headline    24
1289                jerome     3
1290                serena    31
1291                 place   216
1292                  race   101
1293                   dry    16
1294                    30   103
1295                  zone    28
1296                  fall    85
1297              disaster    76
1298             desperate    28
1299                 shook     8
1300                mostly    45
1301                  harm     7
1302                  2000    28
1303               evening    56
1304                 often    62
1305                suffer    89
1306             ahmadabad     2
1307                escape    84
1308             northwest    17
1309               terrify     6
1310                  mike    22
1311                travel    68
1312                common    36
1313                  york    90
1314                 prone     3
1315                   ipd     1
1316                   pas     6
1317                 sleep    40
1318              terrible    25
1319               unusual    24
1320                 siren     1
1321            four-story     5
1322                   ned     1
1323             vibration     1
1324                 split    23
1325                    tl     1
1326                 fully    37
1327               richter     7
1328                  fill    60
1329         correspondent    22
1330               clearly    56
1331                become   194
1332                choice    41
1333                   bbc    29
1334                   abc    49
1335               seismic     3
1336               attempt   108
1337                 scale    19
1338                potter     1
1339             woolridge     1
1340          increasingly    30
1341                 apart    32
1342          terrifyingly     1
1343                likely   103
1344           efficiently     1
1345                    ya     1
1346               rescuer    43
1347                  slow    38
1348              historic    22
1349                 water   113
1350             operation   128
1351              pipeline     6
1352                 phone    61
1353               already   164
1354                killer    21
1355                 grows     3
1356             populated     4
1357            investment    28
1358                    80    20
1359             spreading     3
1360                  8:46     2
1361                    41     6
1362                  port   171
1363                 offer   125
